"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"c5.large","r4.8xlarge","288","200267","10106","1403","0","16802","0","533","0","0","0","533","80200","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:52:27","2023-06-17T18:52:45","false"
"m4.16xlarge","t3.nano","862","244000","16880","4061","0","18338","0","783","0","0","0","783","72719","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:38:33","2023-06-17T18:38:48","true"
"c6a.24xlarge","c5.large","479","226699","13883","2149","0","20388","0","914","0","0","0","914","79016","4","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:25:02","2023-06-17T18:25:18","true"
"h1.16xlarge","c6a.24xlarge","950","229615","16066","3842","0","18340","0","783","0","0","0","783","55676","2","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:32:37","2023-06-17T18:32:53","true"
"c5.large","m5a.8xlarge","288","200267","10106","1403","0","16802","0","533","0","0","0","533","67755","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:52:27","2023-06-17T18:52:44","false"
"t3.nano","c5d.9xlarge","435","251550","14555","2517","0","16803","0","533","0","0","0","533","52491","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:49:35","2023-06-17T18:49:53","true"
"m5a.8xlarge","r4.large","1598","260273","13942","2379","0","18337","0","653","0","0","0","653","80745","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:59:46","2023-06-17T18:00:01","true"
"m5a.2xlarge","c6a.24xlarge","553","217226","11376","1819","0","16801","0","553","0","0","0","553","66472","2","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:57:20","2023-06-17T17:57:35","true"
"c6a.24xlarge","t3.micro","479","226699","13883","2149","0","20388","0","914","0","0","0","914","70451","6","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:25:02","2023-06-17T18:25:18","true"
"r4.16xlarge","m4.large","752","263311","15754","4132","0","18339","0","784","0","0","0","784","89936","9","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:44:04","2023-06-17T18:44:22","true"
"c5a.24xlarge","m4.large","716","265257","14310","2810","0","20387","0","915","0","0","0","915","136194","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:22:21","2023-06-17T18:22:37","true"
"i3.large","t3.micro","561","229495","12711","1938","0","16804","0","531","0","0","0","531","65638","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:19:44","2023-06-17T18:20:00","true"
"c5.9xlarge","i3.large","661","237631","15059","2094","0","18339","0","672","0","0","0","672","75636","9","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:12:59","2023-06-17T19:13:21","false"
"r4.large","m5.large","535","217066","16622","2038","0","16801","0","533","0","0","0","533","57856","4","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:17:06","2023-06-17T18:17:22","true"
"r4.8xlarge","c6a.large","602","266724","35111","2913","0","18340","0","653","0","0","0","653","50204","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:41:15","2023-06-17T18:41:31","false"
"h1.16xlarge","m5zn.6xlarge","950","229615","16066","3842","0","18340","0","783","0","0","0","783","61137","11","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:32:37","2023-06-17T18:32:53","true"
"m5a.8xlarge","c4.8xlarge","1598","260273","13942","2379","0","18337","0","653","0","0","0","653","76216","6","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:59:45","2023-06-17T18:00:00","true"
"x1e.xlarge","i3.large","761","237159","12661","2276","0","16801","0","541","0","0","0","541","67869","14","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:14:30","2023-06-17T18:14:46","true"
"m5zn.6xlarge","i3.large","237","236585","10275","1610","0","16804","0","621","0","0","0","621","68396","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:09:45","2023-06-17T19:10:03","false"
"h1.8xlarge","t3.nano","560","236117","13142","2784","0","18340","0","654","0","0","0","654","86227","4","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:30:07","2023-06-17T18:30:23","true"
"m4.16xlarge","c6i.large","862","244000","16880","4061","0","18338","0","783","0","0","0","783","66334","2","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:38:32","2023-06-17T18:38:47","true"
"m5n.large","h1.8xlarge","336","211003","12860","1467","0","16802","0","532","0","0","0","532","73116","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:55:13","2023-06-17T18:55:31","false"
"m5a.large","h1.8xlarge","350","200455","11011","1674","0","16803","0","532","0","0","0","532","69290","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:54:56","2023-06-17T17:55:11","true"
"c5.9xlarge","c6a.24xlarge","661","237631","15059","2094","0","18339","0","672","0","0","0","672","52416","3","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:12:59","2023-06-17T19:13:21","false"
"h1.8xlarge","m5a.large","560","236117","13142","2784","0","18340","0","654","0","0","0","654","63007","17","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:30:07","2023-06-17T18:30:23","true"
"c5a.large","x1e.xlarge","405","220156","11752","1199","0","16803","0","531","0","0","0","531","63203","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:02:09","2023-06-17T18:02:26","true"
"m5a.large","c4.8xlarge","350","200455","11011","1674","0","16803","0","532","0","0","0","532","85341","6","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:54:56","2023-06-17T17:55:10","true"
"c6a.large","x1e.xlarge","274","196966","10148","898","0","16804","0","532","0","0","0","532","64772","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:04:36","2023-06-17T18:04:52","true"
"m5a.large","m5a.2xlarge","350","200455","11011","1674","0","16803","0","532","0","0","0","532","58218","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:54:56","2023-06-17T17:55:10","true"
"h1.2xlarge","m5.large","577","222330","11444","2166","0","16802","0","558","0","0","0","558","64545","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:12:07","2023-06-17T18:12:22","true"
"r4.8xlarge","t3a.nano","602","266724","35111","2913","0","18340","0","653","0","0","0","653","85646","6","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:41:17","2023-06-17T18:41:31","false"
"x1e.xlarge","m5.large","761","237159","12661","2276","0","16801","0","541","0","0","0","541","57606","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:14:30","2023-06-17T18:14:45","true"
"t3a.nano","t3.micro","403","227300","13523","2185","0","16804","0","533","0","0","0","533","72154","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:52:34","2023-06-17T17:52:49","true"
"c6a.24xlarge","r4.8xlarge","479","226699","13883","2149","0","20388","0","914","0","0","0","914","110936","7","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:25:03","2023-06-17T18:25:18","true"
"m4.large","c5d.9xlarge","536","221619","13491","1993","0","16803","0","531","0","0","0","531","55272","18","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:09:38","2023-06-17T18:09:55","true"
"m5.large","c6i.16xlarge","369","198549","10823","1628","0","16803","0","533","0","0","0","533","96819","14","2023-06-18T21:30:15","2023-06-18T21:30:28","2023-06-18T21:31:15","2023-06-18T21:31:21","true"
"m4.large","c5a.24xlarge","536","221619","13491","1993","0","16803","0","531","0","0","0","531","54200","3","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:09:37","2023-06-17T18:09:54","true"
"t2.nano","m4.large","519","231069","14881","4686","0","16804","0","526","0","0","0","526","70821","9","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:07:05","2023-06-17T18:07:23","true"
"c5.large","c4.8xlarge","288","200267","10106","1403","0","16802","0","533","0","0","0","533","75795","6","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:52:27","2023-06-17T18:52:45","false"
"m5n.large","c5.9xlarge","336","211003","12860","1467","0","16802","0","532","0","0","0","532","55858","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:55:13","2023-06-17T18:55:31","true"
"t3.nano","m5.large","435","251550","14555","2517","0","16803","0","533","0","0","0","533","54455","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:49:35","2023-06-17T18:49:52","true"
"x1e.xlarge","h1.8xlarge","761","237159","12661","2276","0","16801","0","541","0","0","0","541","66710","12","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:14:30","2023-06-17T18:14:45","true"
"c6i.16xlarge","c5a.24xlarge","503","234842","12878","1873","0","18338","0","782","0","0","0","782","53924","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:03:57","2023-06-17T19:04:16","false"
"m4.16xlarge","c4.8xlarge","862","244000","16880","4061","0","18338","0","783","0","0","0","783","70777","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:38:33","2023-06-17T18:38:48","false"
"t3a.nano","m4.large","403","227300","13523","2185","0","16804","0","533","0","0","0","533","81012","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:52:34","2023-06-17T17:52:48","true"
"c4.8xlarge","r4.large","498","252515","13724","2373","0","18340","0","669","0","0","0","669","68261","9","2023-06-17T17:50:51","2023-06-17T17:51:23","2023-06-17T18:27:32","2023-06-17T18:27:50","true"
"t2.nano","t3a.nano","519","231069","14881","4686","0","16804","0","526","0","0","0","526","92503","6","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:07:06","2023-06-17T18:07:24","true"
"t3a.nano","c4.8xlarge","403","227300","13523","2185","0","16804","0","533","0","0","0","533","80622","6","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:52:34","2023-06-17T17:52:49","true"
"t3a.nano","c5d.9xlarge","403","227300","13523","2185","0","16804","0","533","0","0","0","533","70330","11","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:52:34","2023-06-17T17:52:50","true"
"c6i.16xlarge","c5.large","503","234842","12878","1873","0","18338","0","782","0","0","0","782","54991","3","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:03:58","2023-06-17T19:04:15","true"
"c6a.large","h1.8xlarge","274","196966","10148","898","0","16804","0","532","0","0","0","532","66278","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:04:37","2023-06-17T18:04:52","true"
"x1e.xlarge","m5a.2xlarge","761","237159","12661","2276","0","16801","0","541","0","0","0","541","55667","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:14:30","2023-06-17T18:14:45","false"
"t3.micro","m5zn.6xlarge","467","214867","11217","1600","0","16804","0","533","0","0","0","533","53819","6","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:58:08","2023-06-17T18:58:24","true"
"m5a.8xlarge","c5.large","1598","260273","13942","2379","0","18337","0","653","0","0","0","653","61283","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:59:45","2023-06-17T18:00:00","true"
"t3.nano","c6i.large","435","251550","14555","2517","0","16803","0","533","0","0","0","533","48544","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:49:36","2023-06-17T18:49:52","true"
"c6i.large","m5.large","233","201124","9747","1006","0","16803","0","533","0","0","0","533","54114","4","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:46:48","2023-06-17T18:47:05","true"
"m5a.2xlarge","r4.large","553","217226","11376","1819","0","16801","0","553","0","0","0","553","79446","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:57:20","2023-06-17T17:57:36","true"
"c6i.16xlarge","c5d.9xlarge","503","234842","12878","1873","0","18338","0","782","0","0","0","782","55859","10","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:03:58","2023-06-17T19:04:17","true"
"c5.large","h1.16xlarge","288","200267","10106","1403","0","16802","0","533","0","0","0","533","77827","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:52:27","2023-06-17T18:52:45","false"
"r4.8xlarge","c5d.9xlarge","602","266724","35111","2913","0","18340","0","653","0","0","0","653","53830","11","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:41:16","2023-06-17T18:41:31","true"
"x1e.8xlarge","t3.micro","552","222957","14990","3185","0","18338","0","653","0","0","0","653","83336","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:35:05","2023-06-17T18:35:20","true"
"c6a.large","t3a.nano","274","196966","10148","898","0","16804","0","532","0","0","0","532","94581","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:04:37","2023-06-17T18:04:51","true"
"c6i.16xlarge","m4.large","503","234842","12878","1873","0","18338","0","782","0","0","0","782","88188","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:03:57","2023-06-17T19:04:16","false"
"t3a.nano","m4.16xlarge","403","227300","13523","2185","0","16804","0","533","0","0","0","533","83018","22","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:52:35","2023-06-17T17:52:50","true"
"t3.micro","c5a.24xlarge","467","214867","11217","1600","0","16804","0","533","0","0","0","533","51925","3","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:58:08","2023-06-17T18:58:25","false"
"c6a.large","m5n.large","274","196966","10148","898","0","16804","0","532","0","0","0","532","66033","9","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:04:37","2023-06-17T18:04:52","true"
"c6a.24xlarge","c4.8xlarge","479","226699","13883","2149","0","20388","0","914","0","0","0","914","77605","7","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:25:02","2023-06-17T18:25:19","true"
"m4.large","c5.large","536","221619","13491","1993","0","16803","0","531","0","0","0","531","51812","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:09:37","2023-06-17T18:09:54","true"
"c5a.large","c4.8xlarge","405","220156","11752","1199","0","16803","0","531","0","0","0","531","73779","17","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:02:09","2023-06-17T18:02:25","true"
"t3.nano","r4.large","435","251550","14555","2517","0","16803","0","533","0","0","0","533","75872","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:49:36","2023-06-17T18:49:51","false"
"c5.9xlarge","m5a.8xlarge","661","237631","15059","2094","0","18339","0","672","0","0","0","672","58319","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:12:58","2023-06-17T19:13:21","false"
"r4.large","c6i.16xlarge","535","217066","16622","2038","0","16801","0","533","0","0","0","533","66943","5","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:17:05","2023-06-17T18:17:22","true"
"c5.large","t3a.nano","288","200267","10106","1403","0","16802","0","533","0","0","0","533","103351","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:52:27","2023-06-17T18:52:45","false"
"m5a.8xlarge","x1e.8xlarge","998","219432","13595","2468","0","18340","0","652","0","0","0","652","90103","8","2023-06-18T19:38:16","2023-06-18T19:38:30","2023-06-18T19:39:17","2023-06-18T19:39:25","true"
"c5.large","m5.large","288","200267","10106","1403","0","16802","0","533","0","0","0","533","57041","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:52:27","2023-06-17T18:52:45","true"
"m4.16xlarge","m5a.2xlarge","862","244000","16880","4061","0","18338","0","783","0","0","0","783","59689","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:38:33","2023-06-17T18:38:49","false"
"m5a.2xlarge","m5a.large","553","217226","11376","1819","0","16801","0","553","0","0","0","553","55740","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:57:20","2023-06-17T17:57:35","true"
"r4.large","m5a.large","535","217066","16622","2038","0","16801","0","533","0","0","0","533","63611","7","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:17:06","2023-06-17T18:17:22","false"
"r4.large","c4.8xlarge","535","217066","16622","2038","0","16801","0","533","0","0","0","533","72538","7","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:17:05","2023-06-17T18:17:22","false"
"h1.8xlarge","m5a.2xlarge","560","236117","13142","2784","0","18340","0","654","0","0","0","654","59079","10","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:30:07","2023-06-17T18:30:23","true"
"c4.8xlarge","x1e.8xlarge","498","252515","13724","2373","0","18340","0","669","0","0","0","669","80759","8","2023-06-17T17:50:51","2023-06-17T17:51:23","2023-06-17T18:27:32","2023-06-17T18:27:50","true"
"x1e.8xlarge","h1.16xlarge","552","222957","14990","3185","0","18338","0","653","0","0","0","653","87128","13","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:35:05","2023-06-17T18:35:20","true"
"c5a.24xlarge","c5.large","716","265257","14310","2810","0","20387","0","915","0","0","0","915","55337","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:22:21","2023-06-17T18:22:38","true"
"r4.16xlarge","c5.9xlarge","752","263311","15754","4132","0","18339","0","784","0","0","0","784","65696","10","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:44:04","2023-06-17T18:44:21","true"
"h1.16xlarge","h1.8xlarge","950","229615","16066","3842","0","18340","0","783","0","0","0","783","72705","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:32:37","2023-06-17T18:32:54","true"
"r4.large","c5.9xlarge","535","217066","16622","2038","0","16801","0","533","0","0","0","533","56064","11","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:17:06","2023-06-17T18:17:22","true"
"c6a.24xlarge","m5.large","479","226699","13883","2149","0","20388","0","914","0","0","0","914","57919","4","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:25:02","2023-06-17T18:25:19","true"
"r4.large","c5d.9xlarge","535","217066","16622","2038","0","16801","0","533","0","0","0","533","55752","4","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:17:06","2023-06-17T18:17:22","true"
"t3.micro","c5.9xlarge","467","214867","11217","1600","0","16804","0","533","0","0","0","533","52837","17","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:58:07","2023-06-17T18:58:24","true"
"h1.16xlarge","r4.16xlarge","950","229615","16066","3842","0","18340","0","783","0","0","0","783","91266","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:32:38","2023-06-17T18:32:55","true"
"m5zn.6xlarge","t3a.nano","237","236585","10275","1610","0","16804","0","621","0","0","0","621","115037","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:09:45","2023-06-17T19:10:03","false"
"c5.9xlarge","t3.nano","661","237631","15059","2094","0","18339","0","672","0","0","0","672","67959","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:12:59","2023-06-17T19:13:21","true"
"m5.large","c5.large","328","204422","14239","1577","0","16801","0","533","0","0","0","533","50268","8","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T19:01:03","2023-06-17T19:01:20","true"
"r4.16xlarge","t3a.nano","752","263311","15754","4132","0","18339","0","784","0","0","0","784","124103","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:44:04","2023-06-17T18:44:22","false"
"h1.8xlarge","r4.large","560","236117","13142","2784","0","18340","0","654","0","0","0","654","77442","14","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:30:06","2023-06-17T18:30:23","true"
"r4.8xlarge","m5zn.6xlarge","602","266724","35111","2913","0","18340","0","653","0","0","0","653","54984","3","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:41:15","2023-06-17T18:41:31","true"
"m5n.large","c5d.9xlarge","336","211003","12860","1467","0","16802","0","532","0","0","0","532","53518","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:55:13","2023-06-17T18:55:32","true"
"c5a.large","c6i.large","405","220156","11752","1199","0","16803","0","531","0","0","0","531","48969","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:02:10","2023-06-17T18:02:25","true"
"m4.16xlarge","h1.8xlarge","862","244000","16880","4061","0","18338","0","783","0","0","0","783","73225","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:38:32","2023-06-17T18:38:48","true"
"c5.9xlarge","c5.large","661","237631","15059","2094","0","18339","0","672","0","0","0","672","54138","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:12:58","2023-06-17T19:13:21","true"
"m5zn.6xlarge","t3.nano","237","236585","10275","1610","0","16804","0","621","0","0","0","621","72390","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:09:45","2023-06-17T19:10:03","true"
"c5d.9xlarge","c6i.large","408","241741","13161","2248","0","18339","0","670","0","0","0","670","46674","2","2023-06-17T17:50:51","2023-06-17T17:51:23","2023-06-17T19:06:49","2023-06-17T19:07:06","true"
"h1.8xlarge","c5.9xlarge","560","236117","13142","2784","0","18340","0","654","0","0","0","654","64259","4","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:30:07","2023-06-17T18:30:23","true"
"m5a.2xlarge","t3.nano","553","217226","11376","1819","0","16801","0","553","0","0","0","553","79511","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:57:21","2023-06-17T17:57:36","true"
"c6a.24xlarge","t2.nano","479","226699","13883","2149","0","20388","0","914","0","0","0","914","107083","7","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:25:02","2023-06-17T18:25:19","true"
"c5a.large","c5d.9xlarge","405","220156","11752","1199","0","16803","0","531","0","0","0","531","56263","11","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:02:09","2023-06-17T18:02:26","true"
"m5n.large","t3.nano","336","211003","12860","1467","0","16802","0","532","0","0","0","532","89991","9","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:55:13","2023-06-17T18:55:32","true"
"m5a.8xlarge","m5a.2xlarge","1598","260273","13942","2379","0","18337","0","653","0","0","0","653","57968","11","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:59:46","2023-06-17T18:00:00","true"
"r4.8xlarge","t3.micro","602","266724","35111","2913","0","18340","0","653","0","0","0","653","61921","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:41:16","2023-06-17T18:41:31","true"
"c5d.9xlarge","c6a.24xlarge","326","240472","12955","2555","0","18339","0","669","0","0","0","669","74700","3","2023-06-18T21:39:19","2023-06-18T21:39:33","2023-06-18T21:40:15","2023-06-18T21:40:21","false"
"t3a.nano","r4.16xlarge","403","227300","13523","2185","0","16804","0","533","0","0","0","533","90292","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:52:34","2023-06-17T17:52:49","true"
"t3.micro","c4.8xlarge","467","214867","11217","1600","0","16804","0","533","0","0","0","533","66099","7","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:58:07","2023-06-17T18:58:26","false"
"x1e.8xlarge","i3.large","552","222957","14990","3185","0","18338","0","653","0","0","0","653","72310","15","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:35:05","2023-06-17T18:35:20","true"
"c5.9xlarge","h1.8xlarge","661","237631","15059","2094","0","18339","0","672","0","0","0","672","66340","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:12:58","2023-06-17T19:13:21","false"
"c5.large","m4.large","288","200267","10106","1403","0","16802","0","533","0","0","0","533","65046","10","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:52:28","2023-06-17T18:52:45","false"
"h1.2xlarge","r4.large","577","222330","11444","2166","0","16802","0","558","0","0","0","558","81940","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:12:08","2023-06-17T18:12:22","true"
"m4.large","t3.micro","536","221619","13491","1993","0","16803","0","531","0","0","0","531","58058","9","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:09:36","2023-06-17T18:09:54","true"
"m4.16xlarge","c6a.24xlarge","862","244000","16880","4061","0","18338","0","783","0","0","0","783","62376","3","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:38:33","2023-06-17T18:38:47","false"
"c6i.large","c6a.large","233","201124","9747","1006","0","16803","0","533","0","0","0","533","62892","7","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:46:48","2023-06-17T18:47:04","false"
"m5.large","m5zn.6xlarge","328","204422","14239","1577","0","16801","0","533","0","0","0","533","57864","18","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T19:01:03","2023-06-17T19:01:22","true"
"m5zn.6xlarge","m4.16xlarge","237","236585","10275","1610","0","16804","0","621","0","0","0","621","76599","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:09:45","2023-06-17T19:10:03","false"
"c6i.large","c4.8xlarge","233","201124","9747","1006","0","16803","0","533","0","0","0","533","67606","16","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:46:47","2023-06-17T18:47:04","false"
"m4.large","h1.2xlarge","536","221619","13491","1993","0","16803","0","531","0","0","0","531","62972","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:09:36","2023-06-17T18:09:55","true"
"m5a.2xlarge","m5zn.6xlarge","553","217226","11376","1819","0","16801","0","553","0","0","0","553","70954","3","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:57:20","2023-06-17T17:57:35","true"
"x1e.8xlarge","c5a.large","552","222957","14990","3185","0","18338","0","653","0","0","0","653","56317","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:35:05","2023-06-17T18:35:21","false"
"r4.large","r4.8xlarge","535","217066","16622","2038","0","16801","0","533","0","0","0","533","77225","8","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:17:06","2023-06-17T18:17:22","true"
"x1e.xlarge","r4.8xlarge","761","237159","12661","2276","0","16801","0","541","0","0","0","541","74159","25","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:14:30","2023-06-17T18:14:45","true"
"t2.nano","i3.large","519","231069","14881","4686","0","16804","0","526","0","0","0","526","65415","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:07:06","2023-06-17T18:07:23","true"
"t2.nano","t3.nano","519","231069","14881","4686","0","16804","0","526","0","0","0","526","79239","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:07:07","2023-06-17T18:07:23","true"
"i3.large","m5a.8xlarge","561","229495","12711","1938","0","16804","0","531","0","0","0","531","63188","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:19:43","2023-06-17T18:20:00","false"
"r4.large","c6i.large","535","217066","16622","2038","0","16801","0","533","0","0","0","533","59924","5","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:17:06","2023-06-17T18:17:22","true"
"m5n.large","c5a.large","336","211003","12860","1467","0","16802","0","532","0","0","0","532","52704","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:55:13","2023-06-17T18:55:30","false"
